id,grupo,ingreso_mensual,antiguedad_laboral_anios,historial_crediticio,edad,codigo_postal_riesgo,tipo_empleo,deuda_ingreso,default_real,conjunto
1,A,7213,3.6,747,42,0.521,estable,0.161,0,auditoria
2,A,8264,6.6,593,47,0.338,estable,0.233,0,auditoria
3,B,5074,3.8,566,28,0.753,autonomo,0.384,1,auditoria
4,A,6112,8.1,567,56,0.272,autonomo,0.362,0,train
5,A,5009,1.7,647,48,0.165,autonomo,0.166,0,train
6,B,5986,3.9,605,50,0.648,autonomo,0.559,0,train
7,A,10902,0.2,629,37,0.287,temporal,0.428,0,auditoria
8,A,4707,5.2,561,39,0.106,estable,0.428,0,train
9,A,8965,12.6,590,31,0.267,autonomo,0.02,0,train
10,A,6706,11.9,640,32,0.397,estable,0.249,0,train
11,A,6232,3.7,661,33,0.132,estable,0.123,0,train
12,A,4219,11.3,671,37,0.521,estable,0.04,0,train
13,B,2131,4.3,581,23,0.586,estable,0.124,1,train
14,A,7730,7.6,728,41,0.585,temporal,0.159,0,auditoria
15,B,2418,0.5,616,39,0.48,temporal,0.44,0,train
16,A,8613,7.6,708,29,0.189,estable,0.258,0,train
17,A,6554,4.6,629,40,0.281,estable,0.267,0,auditoria
18,B,6942,4.2,499,40,0.363,estable,0.534,0,train
19,A,8082,0.2,566,35,0.672,estable,0.305,0,train
20,A,4377,3.0,718,57,0.069,estable,0.353,0,train
21,B,7040,2.8,566,22,0.63,temporal,0.377,0,auditoria
22,B,5456,5.4,549,40,0.249,estable,0.28,0,train
23,B,4609,8.6,699,40,0.767,autonomo,0.48,0,train
24,A,5996,8.6,667,51,0.299,estable,0.211,0,auditoria
25,A,8317,1.3,636,40,0.362,autonomo,0.28,0,train
26,A,8640,2.5,610,31,0.616,estable,0.228,0,train
27,B,4868,10.4,636,50,0.412,autonomo,0.249,0,train
28,A,6334,9.4,768,47,0.262,estable,0.266,0,train
29,A,7186,3.0,562,48,0.192,estable,0.307,0,train
30,A,4269,4.4,673,53,0.208,estable,0.121,0,train
31,B,8909,4.6,804,32,0.352,estable,0.558,0,auditoria
32,A,7532,2.1,521,39,0.194,temporal,0.396,0,auditoria
33,A,5773,1.4,639,53,0.572,estable,0.581,0,train
34,B,4315,2.2,704,46,0.7,estable,0.394,1,auditoria
35,A,11084,1.0,635,30,0.408,autonomo,0.415,0,auditoria
36,A,6691,2.9,540,57,0.095,temporal,0.434,0,train
37,B,2844,0.1,653,33,0.398,temporal,0.284,0,auditoria
38,B,5953,2.5,511,52,0.448,estable,0.679,0,train
