method,case_id,feature,contribution_to_prob_default
LIME_simplificado,775,tipo_empleo_estable,0.009135749619107162
LIME_simplificado,775,tipo_empleo_autonomo,0.00713300948766848
LIME_simplificado,775,tipo_empleo_temporal,-0.0021876162190704357
LIME_simplificado,775,codigo_postal_riesgo,0.0003334384501608007
LIME_simplificado,775,antiguedad_laboral_anios,-0.000152776289378761
LIME_simplificado,775,deuda_ingreso,0.00014687352516641803
LIME_simplificado,775,edad,0.00010586102499497797
LIME_simplificado,775,ingreso_mensual,1.8938652193984967e-06
LIME_simplificado,775,historial_crediticio,-6.297129591502619e-07
SHAP,775,num__ingreso_mensual,-0.10635408937763029
SHAP,775,num__edad,-0.04267844455333241
SHAP,775,num__historial_crediticio,0.03556078205892541
SHAP,775,num__deuda_ingreso,0.03172723704280508
SHAP,775,num__codigo_postal_riesgo,0.027910375408122634
SHAP,775,cat__tipo_empleo_estable,0.02616947313306504
SHAP,775,num__antiguedad_laboral_anios,0.016254753680941605
SHAP,775,cat__tipo_empleo_autonomo,0.007811334612171041
SHAP,775,cat__tipo_empleo_temporal,-0.00462146202739407
