id,grupo,ingreso_mensual,antiguedad_laboral_anios,historial_crediticio,edad,codigo_postal_riesgo,tipo_empleo,deuda_ingreso,default_real,prob_default,pred_default,aprobado_modelo,conjunto
261,A,9320,2.2,597,46,0.074,autonomo,0.512,0,0.47769,1,0,auditoria
799,A,6057,4.8,572,47,0.096,autonomo,0.249,0,0.19578,0,1,auditoria
843,A,8674,2.0,660,40,0.395,estable,0.298,0,0.34245,0,1,auditoria
836,A,4342,2.2,628,28,0.449,temporal,0.262,0,0.38436,0,1,auditoria
1273,A,4972,0.6,683,27,0.1,estable,0.375,0,0.19827,0,1,auditoria
317,B,9866,1.7,507,35,0.288,estable,0.697,0,0.47163,1,0,auditoria
1333,A,6422,0.7,587,62,0.06,autonomo,0.284,0,0.12956,0,1,auditoria
561,B,3744,2.8,564,43,0.581,autonomo,0.202,0,0.48033,1,0,auditoria
943,A,6498,0.4,632,36,0.152,estable,0.21,0,0.25151,0,1,auditoria
703,B,5174,8.1,541,43,0.799,temporal,0.477,0,0.24864,0,1,auditoria
1257,A,6846,0.1,628,46,0.436,estable,0.179,0,0.19201,0,1,auditoria
35,A,11084,1.0,635,30,0.408,autonomo,0.415,0,0.43088,1,0,auditoria
1286,A,5919,1.0,660,43,0.517,estable,0.48,0,0.37277,0,1,auditoria
397,B,4356,4.2,589,29,0.292,estable,0.308,0,0.34507,0,1,auditoria
857,B,5747,7.9,603,40,0.458,estable,0.415,0,0.15819,0,1,auditoria
531,A,8605,2.4,688,23,0.267,autonomo,0.359,0,0.25843,0,1,auditoria
467,A,5551,3.3,740,37,0.004,estable,0.051,0,0.04842,0,1,auditoria
518,A,5978,1.0,633,46,0.374,estable,0.368,0,0.37022,0,1,auditoria
1388,B,6857,4.0,511,26,0.45,temporal,0.577,0,0.49179,1,0,auditoria
658,A,6676,4.4,570,36,0.045,estable,0.336,0,0.2907,0,1,auditoria
1275,B,6606,2.5,571,46,0.512,estable,0.437,0,0.41137,1,0,auditoria
44,B,5508,0.1,716,35,0.265,temporal,0.413,0,0.17233,0,1,auditoria
213,A,7866,4.3,682,45,0.398,estable,0.345,0,0.32937,0,1,auditoria
996,B,7077,2.6,593,49,0.703,autonomo,0.43,0,0.45743,1,0,auditoria
442,A,7638,6.2,557,52,0.267,autonomo,0.297,0,0.12567,0,1,auditoria
401,B,4434,8.2,575,43,0.598,temporal,0.315,0,0.23129,0,1,auditoria
1195,B,3344,3.6,782,29,0.483,estable,0.472,0,0.32529,0,1,auditoria
1099,B,4686,3.0,437,42,0.267,estable,0.707,0,0.61825,1,0,auditoria
333,A,6147,5.5,683,33,0.422,estable,0.124,0,0.18348,0,1,auditoria
1329,A,5556,4.9,514,56,0.723,estable,0.199,0,0.28449,0,1,auditoria
833,A,5927,12.4,584,44,0.225,temporal,0.169,0,0.08102,0,1,auditoria
1312,B,4612,2.1,560,37,0.252,temporal,0.462,1,0.46634,1,0,auditoria
976,B,6135,1.0,610,31,0.307,estable,0.473,0,0.34588,0,1,auditoria
884,A,6365,7.5,609,32,0.341,estable,0.414,0,0.18886,0,1,auditoria
583,B,5823,2.6,616,48,0.247,estable,0.46,0,0.32315,0,1,auditoria
199,A,6696,19.1,612,23,0.077,autonomo,0.42,0,0.24926,0,1,auditoria
1206,B,5015,2.6,679,48,0.244,estable,0.258,0,0.17278,0,1,auditoria
91,A,5955,3.1,759,39,0.379,autonomo,0.359,0,0.38808,0,1,auditoria
381,A,6750,0.1,668,40,0.361,estable,0.35,0,0.36527,0,1,auditoria
1332,B,6236,0.2,653,28,0.691,autonomo,0.434,0,0.41611,1,0,auditoria
1028,A,4987,1.3,742,37,0.24,autonomo,0.277,0,0.12372,0,1,auditoria
773,B,5806,1.8,603,21,0.42,temporal,0.34,0,0.39848,0,1,auditoria
994,A,8259,2.5,681,36,0.148,estable,0.532,0,0.30766,0,1,auditoria
743,A,7537,4.5,661,36,0.079,estable,0.236,0,0.13188,0,1,auditoria
989,B,5219,19.1,675,39,0.317,autonomo,0.558,0,0.22211,0,1,auditoria
536,B,10066,3.9,584,46,0.28,estable,0.304,0,0.36833,0,1,auditoria
702,B,7815,2.7,688,35,0.634,estable,0.52,0,0.39571,0,1,auditoria
814,A,6934,1.1,607,39,0.109,estable,0.428,0,0.33395,0,1,auditoria
747,A,8002,1.0,765,36,0.418,autonomo,0.325,0,0.34599,0,1,auditoria
266,A,4773,0.5,797,61,0.157,estable,0.341,0,0.13092,0,1,auditoria
215,A,7388,2.8,732,37,0.229,estable,0.528,0,0.19251,0,1,auditoria
466,B,3462,9.9,650,57,0.369,estable,0.452,0,0.11605,0,1,auditoria
253,B,10339,1.7,455,53,0.765,estable,0.445,0,0.35344,0,1,auditoria
992,B,5457,2.3,671,33,0.497,temporal,0.413,0,0.4232,1,0,auditoria
632,B,2569,2.6,582,60,0.363,estable,0.511,0,0.54338,1,0,auditoria
149,A,7976,0.9,795,40,0.196,autonomo,0.621,0,0.36061,0,1,auditoria
301,B,3013,1.8,584,36,0.557,estable,0.462,0,0.6415,1,0,auditoria
1356,B,5320,2.5,665,42,0.205,estable,0.467,0,0.27317,0,1,auditoria
97,B,4981,6.8,602,36,0.443,autonomo,0.17,0,0.26789,0,1,auditoria
858,B,6099,1.4,535,43,0.633,estable,0.403,0,0.42406,1,0,auditoria
